index,org_code,period,admissions
1,RF4,2017-03-01,5060
4,R1H,2017-03-01,6943
9,RQM,2017-03-01,3597
11,RJ6,2017-03-01,2202
15,RVR,2017-03-01,3360
17,RJ1,2017-03-01,3181
21,RQX,2017-03-01,1684
23,RYJ,2017-03-01,3270
26,RJZ,2017-03-01,4477
29,RAX,2017-03-01,1839
31,RJ2,2017-03-01,4967
33,R1K,2017-03-01,4659
37,RAP,2017-03-01,2564
41,RAL,2017-03-01,3872
44,RJ7,2017-03-01,3814
47,RAS,2017-03-01,2126
51,RKE,2017-03-01,1347
52,RRV,2017-03-01,2182
57,RDD,2017-03-01,2468
58,RC1,2017-03-01,2022
60,RQ3,2017-03-01,920
61,RJF,2017-03-01,1870
63,RGT,2017-03-01,3318
65,RFS,2017-03-01,1996
67,RDE,2017-03-01,2597
70,RTG,2017-03-01,3745
74,RWH,2017-03-01,3222
77,RLT,2017-03-01,1119
80,RR1,2017-03-01,6006
83,RQQ,2017-03-01,856
84,RGQ,2017-03-01,1998
86,RGP,2017-03-01,1242
88,RNQ,2017-03-01,2555
92,RC9,2017-03-01,2650
97,RQ8,2017-03-01,2291
99,RD8,2017-03-01,1468
102,RM1,2017-03-01,2612
104,RGN,2017-03-01,2406
106,RNS,2017-03-01,3303
110,RX1,2017-03-01,4076
117,RXK,2017-03-01,3067
120,RK5,2017-03-01,2765
122,RXW,2017-03-01,2441
126,RJC,2017-03-01,1806
128,RAJ,2017-03-01,2314
131,RNA,2017-03-01,2425
133,RQW,2017-03-01,1835
134,RCX,2017-03-01,2049
135,RL4,2017-03-01,2606
137,RWD,2017-03-01,3502
138,RRK,2017-03-01,2818
139,RKB,2017-03-01,4077
142,RWE,2017-03-01,3758
145,RJE,2017-03-01,4511
148,RBK,2017-03-01,1936
151,RWG,2017-03-01,2701
153,RGR,2017-03-01,2063
154,RWP,2017-03-01,3201
156,RLQ,2017-03-01,1185
158,REM,2017-03-01,2718
160,RCF,2017-03-01,1078
161,RBS,2017-03-01,1130
162,RFF,2017-03-01,2143
163,RXL,2017-03-01,2247
165,RMC,2017-03-01,2242
167,RAE,2017-03-01,3045
170,RWY,2017-03-01,2628
171,RW3,2017-03-01,3890
174,RLN,2017-03-01,2650
177,RJR,2017-03-01,1541
179,RXP,2017-03-01,3387
182,RP5,2017-03-01,3315
184,RJN,2017-03-01,958
186,RXR,2017-03-01,3054
189,RR7,2017-03-01,1670
191,RCD,2017-03-01,988
193,RWA,2017-03-01,3329
196,RXN,2017-03-01,1721
199,RR8,2017-03-01,5213
205,RBT,2017-03-01,1840
207,RXF,2017-03-01,5047
208,RNL,2017-03-01,2055
209,RVW,2017-03-01,1650
213,RJL,2017-03-01,2565
215,RTF,2017-03-01,3975
217,RW6,2017-03-01,5328
221,RQ6,2017-03-01,2344
224,RM3,2017-03-01,2637
226,RCU,2017-03-01,726
227,RHQ,2017-03-01,2861
230,RTR,2017-03-01,1919
232,RE9,2017-03-01,1228
234,RVY,2017-03-01,1905
236,RBN,2017-03-01,3497
238,RWJ,2017-03-01,2699
239,RMP,2017-03-01,1708
240,RTD,2017-03-01,2116
243,RFR,2017-03-01,1671
245,RM2,2017-03-01,2478
246,RTX,2017-03-01,2019
248,RWW,2017-03-01,2632
251,RBL,2017-03-01,2546
254,RRF,2017-03-01,1972
255,RCB,2017-03-01,3543
257,RTK,2017-03-01,1982
263,RXH,2017-03-01,3561
266,RXQ,2017-03-01,2891
272,RN7,2017-03-01,2514
274,RBD,2017-03-01,1310
276,RVV,2017-03-01,3336
278,RXC,2017-03-01,2801
280,RDU,2017-03-01,6054
282,RTE,2017-03-01,3464
283,RN3,2017-03-01,2065
285,RN5,2017-03-01,2428
288,R1F,2017-03-01,744
292,RWF,2017-03-01,3677
294,RPA,2017-03-01,2263
295,RVJ,2017-03-01,2324
296,RBZ,2017-03-01,1117
300,RTH,2017-03-01,3100
303,RK9,2017-03-01,3008
305,RD3,2017-03-01,1692
307,RHU,2017-03-01,2921
311,RHW,2017-03-01,3063
313,REF,2017-03-01,2489
315,RH8,2017-03-01,1849
317,RA2,2017-03-01,2017
318,RD1,2017-03-01,2103
320,RNZ,2017-03-01,1062
328,RTP,2017-03-01,2264
330,RBA,2017-03-01,1773
332,RDZ,2017-03-01,1876
334,RA9,2017-03-01,2530
336,RHM,2017-03-01,3456
338,RA7,2017-03-01,2918
340,RYR,2017-03-01,3199
342,RA3,2017-03-01,1007
347,RA4,2017-03-01,1404
348,RF4,2017-02-01,4208
351,R1H,2017-02-01,5820
356,RQM,2017-02-01,3188
358,RJ6,2017-02-01,2021
362,RVR,2017-02-01,3003
364,RJ1,2017-02-01,2867
368,RQX,2017-02-01,1498
370,RYJ,2017-02-01,2835
373,RJZ,2017-02-01,4017
376,RAX,2017-02-01,1646
378,RJ2,2017-02-01,4397
380,R1K,2017-02-01,4050
384,RAP,2017-02-01,2233
388,RAL,2017-02-01,3255
391,RJ7,2017-02-01,3429
394,RAS,2017-02-01,1697
398,RKE,2017-02-01,1181
399,RRV,2017-02-01,1831
404,RDD,2017-02-01,2179
405,RC1,2017-02-01,1818
407,RQ3,2017-02-01,837
408,RJF,2017-02-01,1698
410,RGT,2017-02-01,2787
412,RFS,2017-02-01,1780
414,RDE,2017-02-01,2331
417,RTG,2017-02-01,3279
421,RWH,2017-02-01,2856
425,RLT,2017-02-01,948
428,RR1,2017-02-01,5165
431,RQQ,2017-02-01,703
432,RGQ,2017-02-01,1885
434,RGP,2017-02-01,1159
436,RNQ,2017-02-01,2195
440,RC9,2017-02-01,2466
445,RQ8,2017-02-01,2121
447,RD8,2017-02-01,1305
450,RM1,2017-02-01,2264
452,RGN,2017-02-01,2107
454,RNS,2017-02-01,2812
458,RX1,2017-02-01,3507
465,RXK,2017-02-01,2869
468,RK5,2017-02-01,2372
470,RXW,2017-02-01,2195
475,RJC,2017-02-01,1571
477,RAJ,2017-02-01,2123
480,RNA,2017-02-01,2149
482,RQW,2017-02-01,1494
483,RCX,2017-02-01,1981
484,RL4,2017-02-01,2276
486,RWD,2017-02-01,3123
487,RRK,2017-02-01,2531
488,RKB,2017-02-01,3448
491,RWE,2017-02-01,3361
494,RJE,2017-02-01,4000
497,RBK,2017-02-01,1693
500,RWG,2017-02-01,2473
502,RGR,2017-02-01,1860
503,RWP,2017-02-01,2602
505,RLQ,2017-02-01,1062
507,REM,2017-02-01,2244
509,RCF,2017-02-01,971
510,RBS,2017-02-01,963
511,RFF,2017-02-01,1999
512,RXL,2017-02-01,2021
514,RMC,2017-02-01,2040
516,RAE,2017-02-01,2667
519,RWY,2017-02-01,2408
520,RW3,2017-02-01,3303
523,RLN,2017-02-01,2545
526,RJR,2017-02-01,1338
528,RXP,2017-02-01,3128
531,RP5,2017-02-01,2945
533,RJN,2017-02-01,858
535,RXR,2017-02-01,2836
538,RR7,2017-02-01,1488
540,RCD,2017-02-01,787
542,RWA,2017-02-01,2887
545,RXN,2017-02-01,1545
548,RR8,2017-02-01,4782
554,RBT,2017-02-01,1594
556,RXF,2017-02-01,4347
557,RNL,2017-02-01,1819
558,RVW,2017-02-01,1510
562,RJL,2017-02-01,2400
564,RTF,2017-02-01,3497
566,RW6,2017-02-01,4778
569,RQ6,2017-02-01,1961
572,RM3,2017-02-01,2331
574,RCU,2017-02-01,612
575,RHQ,2017-02-01,2550
578,RTR,2017-02-01,1761
580,RE9,2017-02-01,1135
582,RVY,2017-02-01,1637
584,RBN,2017-02-01,3010
586,RWJ,2017-02-01,2139
587,RMP,2017-02-01,1570
588,RTD,2017-02-01,2019
591,RFR,2017-02-01,1408
593,RM2,2017-02-01,2367
594,RTX,2017-02-01,1825
596,RWW,2017-02-01,2261
599,RBL,2017-02-01,2114
602,RRF,2017-02-01,1585
603,RCB,2017-02-01,3062
605,RTK,2017-02-01,1875
611,RXH,2017-02-01,3149
614,RXQ,2017-02-01,2550
620,RN7,2017-02-01,2137
622,RBD,2017-02-01,1171
624,RVV,2017-02-01,3030
626,RXC,2017-02-01,2433
628,RDU,2017-02-01,5308
630,RTE,2017-02-01,3207
631,RN3,2017-02-01,2077
633,RN5,2017-02-01,2054
636,R1F,2017-02-01,666
640,RWF,2017-02-01,3204
642,RPA,2017-02-01,1948
643,RVJ,2017-02-01,2097
644,RBZ,2017-02-01,953
648,RTH,2017-02-01,2794
651,RK9,2017-02-01,2656
653,RD3,2017-02-01,1465
655,RHU,2017-02-01,2452
659,RHW,2017-02-01,2665
661,REF,2017-02-01,2344
663,RH8,2017-02-01,1699
665,RA2,2017-02-01,1786
666,RD1,2017-02-01,1753
668,RNZ,2017-02-01,954
676,RTP,2017-02-01,2172
678,RBA,2017-02-01,1584
680,RDZ,2017-02-01,1706
682,RA9,2017-02-01,2243
684,RHM,2017-02-01,2937
686,RA7,2017-02-01,2597
688,RYR,2017-02-01,2840
