index,org_code,period,attendances,breaches
1,RF4,Mar-17,"21,289.0","2,879.0"
4,R1H,Mar-17,"30,210.0","5,902.0"
9,RQM,Mar-17,"17,414.0","2,030.0"
11,RJ6,Mar-17,"6,654.0","1,322.0"
15,RVR,Mar-17,"12,649.0",473.0
17,RJ1,Mar-17,"12,385.0","2,092.0"
21,RQX,Mar-17,"10,300.0",635.0
23,RYJ,Mar-17,"10,020.0","2,632.0"
26,RJZ,Mar-17,"17,810.0","4,153.0"
29,RAX,Mar-17,"9,239.0",968.0
31,RJ2,Mar-17,"18,137.0","2,993.0"
33,R1K,Mar-17,"12,137.0","4,874.0"
37,RAP,Mar-17,"15,077.0","2,170.0"
41,RAL,Mar-17,"19,072.0","3,267.0"
44,RJ7,Mar-17,"13,430.0","1,667.0"
47,RAS,Mar-17,"5,838.0","1,889.0"
51,RKE,Mar-17,"8,528.0",990.0
52,RRV,Mar-17,"12,059.0","1,252.0"
57,RDD,Mar-17,"11,981.0","1,075.0"
58,RC1,Mar-17,"6,402.0",306.0
60,RQ3,Mar-17,"5,732.0",173.0
61,RJF,Mar-17,"5,360.0",272.0
63,RGT,Mar-17,"9,567.0",766.0
65,RFS,Mar-17,"6,889.0",631.0
67,RDE,Mar-17,"7,562.0",651.0
70,RTG,Mar-17,"11,780.0","1,773.0"
74,RWH,Mar-17,"9,376.0","2,290.0"
77,RLT,Mar-17,"6,726.0",799.0
80,RR1,Mar-17,"19,628.0","3,654.0"
83,RQQ,Mar-17,"3,766.0",405.0
84,RGQ,Mar-17,"7,321.0",560.0
86,RGP,Mar-17,"6,301.0",318.0
88,RNQ,Mar-17,"7,653.0","1,546.0"
92,RC9,Mar-17,"8,814.0",172.0
97,RQ8,Mar-17,"8,163.0","1,371.0"
99,RD8,Mar-17,"7,692.0",887.0
102,RM1,Mar-17,"10,075.0","1,372.0"
104,RGN,Mar-17,"7,832.0",993.0
106,RNS,Mar-17,"9,027.0","1,336.0"
110,RX1,Mar-17,"15,446.0","3,187.0"
117,RXK,Mar-17,"14,665.0","2,828.0"
120,RK5,Mar-17,"8,842.0",599.0
122,RXW,Mar-17,"10,371.0","2,217.0"
126,RJC,Mar-17,"5,572.0",198.0
128,RAJ,Mar-17,"8,595.0",680.0
131,RNA,Mar-17,"9,006.0",679.0
133,RQW,Mar-17,"8,737.0","1,935.0"
134,RCX,Mar-17,"5,320.0",496.0
135,RL4,Mar-17,"11,505.0","1,651.0"
137,RWD,Mar-17,"13,111.0","2,737.0"
138,RRK,Mar-17,"10,032.0","1,543.0"
139,RKB,Mar-17,"11,986.0","3,213.0"
142,RWE,Mar-17,"12,697.0","3,227.0"
145,RJE,Mar-17,"15,129.0","4,019.0"
148,RBK,Mar-17,"6,360.0","1,986.0"
151,RWG,Mar-17,"8,042.0","2,644.0"
153,RGR,Mar-17,"5,887.0",419.0
154,RWP,Mar-17,"9,976.0","2,711.0"
156,RLQ,Mar-17,"4,618.0",915.0
158,REM,Mar-17,"7,186.0","1,449.0"
160,RCF,Mar-17,"5,480.0",379.0
161,RBS,Mar-17,"5,349.0",216.0
162,RFF,Mar-17,"7,146.0",537.0
163,RXL,Mar-17,"7,064.0","2,208.0"
165,RMC,Mar-17,"8,492.0","1,563.0"
167,RAE,Mar-17,"11,362.0",864.0
170,RWY,Mar-17,"12,967.0",337.0
171,RW3,Mar-17,"13,272.0","2,106.0"
174,RLN,Mar-17,"7,844.0",795.0
177,RJR,Mar-17,"6,019.0",922.0
179,RXP,Mar-17,"10,733.0",752.0
